group_id,name,event_type,event_date,place,status,no_match_status,profile_id,candidate_decision,exact_date,exact_locality,exact_relatives,missing_for_confirmation,profile_url
fmp-glasgow-50e16607a480,Robert Glasgow,burial,23 Mar 1559,Holkham,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-3693,possible_candidate,False,False,False,no exact full event-date bridge; no exact locality bridge; record supplies no relative bridge,https://www.wikitree.com/wiki/Glasgow-3693
fmp-glasgow-50e16607a480,Robert Glasgow,burial,23 Mar 1559,Holkham,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-4063,possible_candidate,False,True,False,no exact full event-date bridge; record supplies no relative bridge,https://www.wikitree.com/wiki/Glasgow-4063
fmp-glasgow-580b6ddab10a,John Glasgow,baptism,18 Feb 1616,Mid Calder,confirmed_match,not_applicable_confirmed,Glasgow-1084,confirmed_match,True,True,True,,https://www.wikitree.com/wiki/Glasgow-1084
fmp-glasgow-580b6ddab10a,John Glasgow,baptism,18 Feb 1616,Mid Calder,confirmed_match,not_applicable_confirmed,Glasgow-3015,possible_candidate,False,False,False,no exact full event-date bridge; no exact locality bridge; named record relatives do not all resolve exactly on the profile,https://www.wikitree.com/wiki/Glasgow-3015
fmp-glasgow-580b6ddab10a,John Glasgow,baptism,18 Feb 1616,Mid Calder,confirmed_match,not_applicable_confirmed,Glasgow-3056,possible_candidate,False,False,False,no exact full event-date bridge; no exact locality bridge; named record relatives do not all resolve exactly on the profile,https://www.wikitree.com/wiki/Glasgow-3056
fmp-glasgow-5bd8a860759f,Agnes Glasgow,testament/probate,4 Mar 1628,Stevenston,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-3178,possible_candidate,False,False,False,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge; record supplies no relative bridge,https://www.wikitree.com/wiki/Glasgow-3178
fmp-glasgow-5bd8a860759f,Agnes Glasgow,testament/probate,4 Mar 1628,Stevenston,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-32,possible_candidate,False,False,False,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge; record supplies no relative bridge,https://www.wikitree.com/wiki/Glasgow-32
fmp-glasgow-5c2ca217f786,Geillis Glasgow,testament/probate,11 May 1603,Ardrossan,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-3179,possible_candidate,False,False,False,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge; record supplies no relative bridge,https://www.wikitree.com/wiki/Glasgow-3179
fmp-glasgow-65f4901d3c5c,Margaret Glasgow,marriage,16 Jul 1611,Edinburgh,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-3589,possible_candidate,False,False,False,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge; record supplies no relative bridge,https://www.wikitree.com/wiki/Glasgow-3589
fmp-glasgow-65f4901d3c5c,Margaret Glasgow,marriage,16 Jul 1611,Edinburgh,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-3598,possible_candidate,False,False,False,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge; record supplies no relative bridge,https://www.wikitree.com/wiki/Glasgow-3598
fmp-glasgow-65f4901d3c5c,Margaret Glasgow,marriage,16 Jul 1611,Edinburgh,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Graham-38221,possible_candidate,False,False,False,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge; record supplies no relative bridge,https://www.wikitree.com/wiki/Graham-38221
fmp-glasgow-65f4901d3c5c,Margaret Glasgow,marriage,16 Jul 1611,Edinburgh,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Herbison-439,possible_candidate,False,False,False,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge; record supplies no relative bridge,https://www.wikitree.com/wiki/Herbison-439
fmp-glasgow-65f4901d3c5c,Margaret Glasgow,marriage,16 Jul 1611,Edinburgh,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Hutcheson-1656,possible_candidate,False,False,False,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge; record supplies no relative bridge,https://www.wikitree.com/wiki/Hutcheson-1656
fmp-glasgow-65f4901d3c5c,Margaret Glasgow,marriage,16 Jul 1611,Edinburgh,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Smith-374110,possible_candidate,False,False,False,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge; record supplies no relative bridge,https://www.wikitree.com/wiki/Smith-374110
fmp-glasgow-65f4901d3c5c,Margaret Glasgow,marriage,16 Jul 1611,Edinburgh,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Stewart-65226,possible_candidate,False,False,False,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge; record supplies no relative bridge,https://www.wikitree.com/wiki/Stewart-65226
fmp-glasgow-6644ab3fa586,Jhone Glasgow,baptism,26 Jun 1608,Mid Calder,no_wikitree_match_found,no_wikitree_match_found,,no_candidate,,,,,
fmp-glasgow-74a505dee20f,Cristiane Glasgow,baptism,,Inveresk with Musselburgh,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-2456,possible_candidate,False,True,False,no exact full event-date bridge; named record relatives do not all resolve exactly on the profile,https://www.wikitree.com/wiki/Glasgow-2456
fmp-glasgow-74ff22efa93c,William Glasgow,baptism,24 Dec 1609,Mid Calder,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-1087,possible_candidate,True,True,False,named record relatives do not all resolve exactly on the profile,https://www.wikitree.com/wiki/Glasgow-1087
fmp-glasgow-7c955507b78b,Ninian Glasgow,baptism,06 Jan 1614,Glasgow,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-1079,possible_candidate,True,True,False,named record relatives do not all resolve exactly on the profile,https://www.wikitree.com/wiki/Glasgow-1079
fmp-glasgow-7cbeb1492d76,Eduard Glasgow,baptism,,Inveresk with Musselburgh,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-994,possible_candidate,False,True,True,no exact full event-date bridge,https://www.wikitree.com/wiki/Glasgow-994
fmp-glasgow-7ed3915647bd,Rot. Glasgow,baptism,17 Nov 1618,Glasgow,no_wikitree_match_found,no_wikitree_match_found,,no_candidate,,,,,
fmp-glasgow-7fc6bb781027,James Glasgow,burgess admission,20 Jun 1649,Edinburgh,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-1150,possible_candidate,False,False,False,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge; record supplies no relative bridge,https://www.wikitree.com/wiki/Glasgow-1150
fmp-glasgow-7fc6bb781027,James Glasgow,burgess admission,20 Jun 1649,Edinburgh,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-3077,possible_candidate,False,False,False,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge; record supplies no relative bridge,https://www.wikitree.com/wiki/Glasgow-3077
fmp-glasgow-7fc6bb781027,James Glasgow,burgess admission,20 Jun 1649,Edinburgh,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-3332,possible_candidate,False,False,False,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge; record supplies no relative bridge,https://www.wikitree.com/wiki/Glasgow-3332
fmp-glasgow-7fc6bb781027,James Glasgow,burgess admission,20 Jun 1649,Edinburgh,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-3337,possible_candidate,False,False,False,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge; record supplies no relative bridge,https://www.wikitree.com/wiki/Glasgow-3337
fmp-glasgow-7fc6bb781027,James Glasgow,burgess admission,20 Jun 1649,Edinburgh,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-3923,possible_candidate,False,False,False,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge; record supplies no relative bridge,https://www.wikitree.com/wiki/Glasgow-3923
fmp-glasgow-7fc6bb781027,James Glasgow,burgess admission,20 Jun 1649,Edinburgh,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-635,possible_candidate,False,False,False,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge; record supplies no relative bridge,https://www.wikitree.com/wiki/Glasgow-635
fmp-glasgow-7fc6bb781027,James Glasgow,burgess admission,20 Jun 1649,Edinburgh,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-991,possible_candidate,False,False,False,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge; record supplies no relative bridge,https://www.wikitree.com/wiki/Glasgow-991
fmp-glasgow-91919c567ea1,Archibald Glasgow,baptism,19 Jun 1614,Glasgow,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-1101,possible_candidate,True,True,False,named record relatives do not all resolve exactly on the profile,https://www.wikitree.com/wiki/Glasgow-1101
fmp-glasgow-95906c2e4088,John Glasgow,baptism,,Linlithgow,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-1105,possible_candidate,False,True,True,no exact full event-date bridge,https://www.wikitree.com/wiki/Glasgow-1105
fmp-glasgow-a75d38f2639c,Barbara Glasgow,baptism,21 Oct 1617,Glasgow,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-1102,possible_candidate,True,True,False,named record relatives do not all resolve exactly on the profile,https://www.wikitree.com/wiki/Glasgow-1102
fmp-glasgow-a87ffaafd6d6,John Glasgow,baptism,13 May 1619,Glasgow,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-1088,possible_candidate,True,True,False,named record relatives do not all resolve exactly on the profile,https://www.wikitree.com/wiki/Glasgow-1088
fmp-glasgow-a87ffaafd6d6,John Glasgow,baptism,13 May 1619,Glasgow,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-3015,possible_candidate,False,False,False,no exact full event-date bridge; no exact locality bridge; named record relatives do not all resolve exactly on the profile,https://www.wikitree.com/wiki/Glasgow-3015
fmp-glasgow-a87ffaafd6d6,John Glasgow,baptism,13 May 1619,Glasgow,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-3056,possible_candidate,False,False,False,no exact full event-date bridge; no exact locality bridge; named record relatives do not all resolve exactly on the profile,https://www.wikitree.com/wiki/Glasgow-3056
fmp-glasgow-aa025b7f9070,Marion Glasgow,baptism,17 Mar 1630,Inveresk,no_wikitree_match_found,no_wikitree_match_found,,no_candidate,,,,,
fmp-glasgow-b0b59fa9818e,Rpbert Glasgow,burgess admission,22 Apr 1613,Glasgow,no_wikitree_match_found,no_wikitree_match_found,,no_candidate,,,,,
fmp-glasgow-b1b3eca22446,Ninian Glasgow,testament/probate,8 May 1613,Glasgow,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-3188,possible_candidate,False,False,False,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge; record supplies no relative bridge,https://www.wikitree.com/wiki/Glasgow-3188
fmp-glasgow-b9c5535df816,Jonat Glasgow,baptism,18 May 1615,Glasgow,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-1080,possible_candidate,True,True,False,named record relatives do not all resolve exactly on the profile,https://www.wikitree.com/wiki/Glasgow-1080
fmp-glasgow-bde5392462b5,Beatrix Glasgow,baptism,15 Apr 1611,Midcalder,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-1083,possible_candidate,False,False,True,no exact full event-date bridge; no exact locality bridge,https://www.wikitree.com/wiki/Glasgow-1083
fmp-glasgow-be5487ea2b80,John Glasgow,testament/probate,17 Aug 1610,,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-1030,possible_candidate,False,False,False,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge; record supplies no relative bridge,https://www.wikitree.com/wiki/Glasgow-1030
fmp-glasgow-be5487ea2b80,John Glasgow,testament/probate,17 Aug 1610,,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-1561,possible_candidate,False,False,False,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge; record supplies no relative bridge,https://www.wikitree.com/wiki/Glasgow-1561
fmp-glasgow-be5487ea2b80,John Glasgow,testament/probate,17 Aug 1610,,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-3296,possible_candidate,False,False,False,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge; record supplies no relative bridge,https://www.wikitree.com/wiki/Glasgow-3296
fmp-glasgow-be5487ea2b80,John Glasgow,testament/probate,17 Aug 1610,,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-3342,possible_candidate,False,False,False,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge; record supplies no relative bridge,https://www.wikitree.com/wiki/Glasgow-3342
fmp-glasgow-c3bc3cd2f9f5,Issobell Glasgow,baptism,03 May 1612,Mid Calder,confirmed_match,not_applicable_confirmed,Glasgow-1085,confirmed_match,True,True,True,,https://www.wikitree.com/wiki/Glasgow-1085
fmp-glasgow-c3bc3cd2f9f5,Issobell Glasgow,baptism,03 May 1612,Mid Calder,confirmed_match,not_applicable_confirmed,Glasgow-3185,possible_candidate,False,False,False,no exact full event-date bridge; no exact locality bridge; named record relatives do not all resolve exactly on the profile,https://www.wikitree.com/wiki/Glasgow-3185
fmp-glasgow-c608ee62fa8a,William Glasgow,baptism,,Inveresk with Musselburgh,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-1556,possible_candidate,False,False,False,no exact full event-date bridge; no exact locality bridge; named record relatives do not all resolve exactly on the profile,https://www.wikitree.com/wiki/Glasgow-1556
fmp-glasgow-c608ee62fa8a,William Glasgow,baptism,,Inveresk with Musselburgh,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-3517,possible_candidate,False,True,True,no exact full event-date bridge,https://www.wikitree.com/wiki/Glasgow-3517
fmp-glasgow-c608ee62fa8a,William Glasgow,baptism,,Inveresk with Musselburgh,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-992,possible_candidate,False,False,False,no exact full event-date bridge; no exact locality bridge; named record relatives do not all resolve exactly on the profile,https://www.wikitree.com/wiki/Glasgow-992
fmp-glasgow-cd4d475c488d,Robert Glasgow,baptism,,Inveresk with Musselburgh,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-1149,possible_candidate,False,True,False,no exact full event-date bridge; named record relatives do not all resolve exactly on the profile,https://www.wikitree.com/wiki/Glasgow-1149
fmp-glasgow-cd4d475c488d,Robert Glasgow,baptism,,Inveresk with Musselburgh,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-3970,possible_candidate,False,False,False,no exact full event-date bridge; no exact locality bridge; named record relatives do not all resolve exactly on the profile,https://www.wikitree.com/wiki/Glasgow-3970
fmp-glasgow-cf1b4a398238,Ninian Glasgow,testament/probate,27 Aug 1607,Glasgow,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-3188,possible_candidate,False,False,False,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge; record supplies no relative bridge,https://www.wikitree.com/wiki/Glasgow-3188
fmp-glasgow-d91f9d0f8066,Ninian Glasgow,burgess admission,23 Oct 1596,Glasgow,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-3188,possible_candidate,False,False,False,profile has no structured field for this non-vital event; no exact full event-date bridge; no exact locality bridge; record supplies no relative bridge,https://www.wikitree.com/wiki/Glasgow-3188
fmp-glasgow-de4f42f994eb,Jannet Glasgow,baptism,,Linlithgow,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-1104,possible_candidate,False,True,True,no exact full event-date bridge,https://www.wikitree.com/wiki/Glasgow-1104
fmp-glasgow-e1d691461260,Margaret Glasgow,baptism,06 May 1610,Glasgow,no_confirmed_match_candidates_only,no_confirmed_match_candidates_only,Glasgow-3186,possible_candidate,False,False,False,no exact full event-date bridge; no exact locality bridge; named record relatives do not all resolve exactly on the profile,https://www.wikitree.com/wiki/Glasgow-3186
